Comment,Designator,Footprint,LCSC
1k,"R12,R13,R16,R25,R3,R4,R5,R6",R_0402_1005Metric,C11702
120Ohm/100MHz,"FB2,FB3",L_0603_1608Metric,C14709
100n,"C13,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C7,C9",C_0402_1005Metric,C1525
74LVC2T45DC,"U10,U7,U8,U9",VSSOP-8_2.3x2mm_P0.5mm,C15741
10u,C3,C_0603_1608Metric,C19702
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
100,"R18,R19,R20,R21,R22,R23,R24",R_0402_1005Metric,C25076
27,"R14,R15",R_0402_1005Metric,C25100
100k,"R10,R26,R7,R8,R9",R_0402_1005Metric,C25741
10k,"R11,R17,R27",R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
BOOT,"SW1,SW2",SW_SPST_B3S-1000,C2733655
Target UART connector,J4,PinHeader_2x02_P2.54mm_Horizontal,C2894982
TLV9001IDCK,U5,SOT-353_SC-70-5,C398362
1u,"C1,C10,C16,C2,C25,C4,C5,C6,C8",C_0402_1005Metric,C52923
USB,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5337088
TPS2553DBVR,U4,SOT-23-6,C55266
MCU SWD,J2,PinHeader_2x05_P1.27mm_Vertical_SMD,C598540
Target connector,J5,IDC-Header_2x05_P2.54mm_Horizontal,C7434504
USBLC6-2SC6,U2,SOT-23-6,C7519
16p,"C11,C12",C_0402_1005Metric,C77590
LP5907MFX-3.3,U1,SOT-23-5,C80670
BSS138,Q1,SOT-23,C82045
W25Q16JVSS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C82317
33Ohm/100MHz,FB1,L_0603_1608Metric,C88984
ERR,D4,LED_1206_3216Metric,C965822
ACT,D2,LED_1206_3216Metric,C965823
SER,D3,LED_1206_3216Metric,C965824
PWR,D1,LED_1206_3216Metric,C965826
MCU SWD TC,J3,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,
GND,TP3,TestPoint_Keystone_5000-5004_Miniature,
TARGET_VREF_PWR_EN,TP9,TestPoint_Pad_D1.0mm,
SWCLK,TP18,TestPoint_Pad_D1.0mm,
GND,TP1,TestPoint_Pad_D1.0mm,
TARGET_PWR_~{FAULT},TP10,TestPoint_Pad_D1.0mm,
GND,TP20,TestPoint_Pad_D1.0mm,
GND,TP12,TestPoint_Pad_D1.0mm,
5V,TP7,TestPoint_Pad_D1.0mm,
LED_SER,TP6,TestPoint_Pad_D1.0mm,
GND,TP2,TestPoint_Pad_D1.0mm,
3V3,TP4,TestPoint_Pad_D1.0mm,
GND,TP14,TestPoint_Pad_D1.0mm,
BOOT,TP11,TestPoint_Pad_D1.0mm,
TARGET_RST,TP19,TestPoint_Pad_D1.0mm,
GND,TP16,TestPoint_Pad_D1.0mm,
LED_ERR,TP8,TestPoint_Pad_D1.0mm,
LED_ACT,TP5,TestPoint_Pad_D1.0mm,
RST,TP17,TestPoint_Pad_D1.0mm,
TARGET_VREF_MEASURE,TP13,TestPoint_Pad_D1.0mm,
SWDIO,TP15,TestPoint_Pad_D1.0mm,
