Comment,Designator,Footprint,LCSC
1k,"R1,R14,R18,R28,R32,R6,R7,R8",R_0402_1005Metric,C11702
120Ohm/100MHz,"FB2,FB3",L_0603_1608Metric,C14709
100n,"C10,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C8",C_0402_1005Metric,C1525
TLV62568DBV,U1,SOT-23-5,C163219
6.8pF,C3,C_0402_1005Metric,C189470
10u,"C1,C2,C4",C_0603_1608Metric,C19702
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
74LVC2T45DC,"U10,U7,U8,U9",VSSOP-8_2.3x2mm_P0.5mm,C22356905
100,"R20,R21,R22,R23,R24,R25,R26",R_0402_1005Metric,C25076
27,"R16,R17",R_0402_1005Metric,C25100
100k,"R10,R11,R12,R27,R29,R4,R9",R_0402_1005Metric,C25741
10k,"R13,R19,R30",R_0402_1005Metric,C25744
75k 1%,R15,R_0402_1005Metric,C25798
4.7k,"R31,R33",R_0402_1005Metric,C25900
5.1k,"R2,R5",R_0402_1005Metric,C25905
453k,R3,R_0402_1005Metric,C27009
BOOT,SW1,SW_SPST_B3S-1000,C2733655
2.2uH,L1,L_Taiyo-Yuden_NR-30xx,C2844756
Target UART connector,J3,PinHeader_2x02_P2.54mm_Horizontal,C2894982
LMV321IDCKR,U5,SOT-353_SC-70-5,C3029047
1u,"C12,C16,C25,C5,C6,C7,C9",C_0402_1005Metric,C52923
USB,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5337088
TPS2553DBVR,U4,SOT-23-6,C55266
Probe MCU SWD,J2,PinHeader_2x05_P1.27mm_Vertical_SMD,C598540
Target connector,J4,IDC-Header_2x05_P2.54mm_Horizontal,C7434504
USBLC6-2SC6,U2,SOT-23-6,C7519
16p,"C11,C13",C_0402_1005Metric,C77590
BSS138,Q1,SOT-23,C82045
W25Q16JVSS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C82317
33Ohm/100MHz,FB1,L_0603_1608Metric,C88984
ERR,D2,LED_1206_3216Metric,C965822
ACT,D3,LED_1206_3216Metric,C965823
SER,D4,LED_1206_3216Metric,C965824
PWR,D1,LED_1206_3216Metric,C965826
GND,TP3,TestPoint_Keystone_5000-5004_Miniature,
TARGET_VREF_PWR_EN,TP9,TestPoint_Pad_D1.0mm,
SWCLK,TP12,TestPoint_Pad_D1.0mm,
TARGET_PWR_~{FAULT},TP10,TestPoint_Pad_D1.0mm,
GND,TP2,TestPoint_Pad_D1.0mm,
GND,TP20,TestPoint_Pad_D1.0mm,
GND,TP15,TestPoint_Pad_D1.0mm,
5V,TP8,TestPoint_Pad_D1.0mm,
LED_SER,TP7,TestPoint_Pad_D1.0mm,
GND,TP1,TestPoint_Pad_D1.0mm,
3V3,TP6,TestPoint_Pad_D1.0mm,
GND,TP18,TestPoint_Pad_D1.0mm,
BOOT,TP16,TestPoint_Pad_D1.0mm,
TARGET_RST,TP19,TestPoint_Pad_D1.0mm,
GND,TP14,TestPoint_Pad_D1.0mm,
LED_ERR,TP4,TestPoint_Pad_D1.0mm,
LED_ACT,TP5,TestPoint_Pad_D1.0mm,
RST,TP11,TestPoint_Pad_D1.0mm,
TARGET_VREF_MEASURE,TP17,TestPoint_Pad_D1.0mm,
SWDIO,TP13,TestPoint_Pad_D1.0mm,
