Comment,Designator,Footprint,LCSC
1k,"R1,R17,R2,R21,R3,R4",R_0402_1005Metric,C11702
120Ohm/100MHz,FB1,L_0603_1608Metric,C14709
100n,"C1,C10,C11,C12,C13,C14,C3,C7,C8,C9",C_0402_1005Metric,C1525
74LVC2T45DC,"U4,U5,U6,U7",VSSOP-8_2.3x2mm_P0.5mm,C22356905
100,"R10,R11,R12,R13,R14,R15,R16",R_0402_1005Metric,C25076
100k,"R18,R5,R6,R7,R8",R_0402_1005Metric,C25741
10k,R19,R_0402_1005Metric,C25744
133k 1%,R9,R_0402_1005Metric,C25753
4.7k,"R20,R22",R_0402_1005Metric,C25900
Target UART connector,J2,PinHeader_2x02_P2.54mm_Horizontal,C2894982
LMV321IDCKR,U2,SOT-353_SC-70-5,C3029047
1u,"C2,C4,C5,C6",C_0402_1005Metric,C52923
TPS2553DBVR,U1,SOT-23-6,C55266
Probe MCU SWD,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,C598540
Target connector,J3,IDC-Header_2x05_P2.54mm_Horizontal,C7434504
BSS138,Q1,SOT-23,C82045
ERR,D2,LED_1206_3216Metric,C965822
ACT,D3,LED_1206_3216Metric,C965823
SER,D4,LED_1206_3216Metric,C965824
PWR,D1,LED_1206_3216Metric,C965826
Pico,U3,RPi_Pico_SMD_TH,
GND,TP10,TestPoint_Keystone_5000-5004_Miniature,
TARGET_VREF_PWR_EN,TP4,TestPoint_Pad_D1.0mm,
SWCLK,TP7,TestPoint_Pad_D1.0mm,
TARGET_PWR_~{FAULT},TP5,TestPoint_Pad_D1.0mm,
GND,TP14,TestPoint_Pad_D1.0mm,
LED_SER,TP3,TestPoint_Pad_D1.0mm,
GND,TP12,TestPoint_Pad_D1.0mm,
TARGET_RST,TP13,TestPoint_Pad_D1.0mm,
GND,TP9,TestPoint_Pad_D1.0mm,
LED_ERR,TP1,TestPoint_Pad_D1.0mm,
LED_ACT,TP2,TestPoint_Pad_D1.0mm,
RST,TP6,TestPoint_Pad_D1.0mm,
TARGET_VREF_MEASURE,TP11,TestPoint_Pad_D1.0mm,
SWDIO,TP8,TestPoint_Pad_D1.0mm,
