Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,13.2,13.8,180.0,top
C10,1u,C_0402_1005Metric,44.0,39.0,90.0,top
C11,16p,C_0402_1005Metric,31.2,15.5,180.0,top
C12,16p,C_0402_1005Metric,33.8,15.6,0.0,top
C13,100n,C_0402_1005Metric,25.4,11.5,-90.0,top
C14,100n,C_0402_1005Metric,34.7,18.6,180.0,top
C15,100n,C_0402_1005Metric,31.1,30.5,0.0,top
C16,1u,C_0402_1005Metric,34.6,32.0,-90.0,top
C17,100n,C_0402_1005Metric,27.8,27.2,90.0,top
C18,100n,C_0402_1005Metric,27.8,23.7,90.0,top
C19,100n,C_0402_1005Metric,34.0,17.6,0.0,top
C2,1u,C_0402_1005Metric,13.7,8.1,-90.0,top
C20,100n,C_0402_1005Metric,37.7,23.2,0.0,top
C21,100n,C_0402_1005Metric,37.3,27.4,90.0,top
C22,100n,C_0402_1005Metric,31.1,32.0,180.0,top
C23,100n,C_0402_1005Metric,32.9,32.7,90.0,top
C24,100n,C_0402_1005Metric,35.8,28.8,0.0,top
C25,1u,C_0402_1005Metric,35.7,30.4,0.0,top
C26,100n,C_0402_1005Metric,40.3,25.9,180.0,top
C27,100n,C_0402_1005Metric,40.3,21.1,180.0,top
C28,100n,C_0402_1005Metric,40.3,30.7,180.0,top
C29,100n,C_0402_1005Metric,39.7,13.4,180.0,top
C3,10u,C_0603_1608Metric,14.5,16.0,0.0,top
C30,100n,C_0402_1005Metric,42.3,25.9,180.0,top
C31,100n,C_0402_1005Metric,42.3,21.1,180.0,top
C32,100n,C_0402_1005Metric,42.3,30.7,180.0,top
C33,100n,C_0402_1005Metric,41.7,13.4,180.0,top
C4,1u,C_0402_1005Metric,35.2,35.2,180.0,top
C5,1u,C_0402_1005Metric,37.8,35.2,0.0,top
C6,1u,C_0402_1005Metric,20.7,28.2,-90.0,top
C7,100n,C_0402_1005Metric,20.7,30.2,90.0,top
C8,1u,C_0402_1005Metric,38.6,38.0,-90.0,top
C9,100n,C_0402_1005Metric,39.9,33.0,90.0,top
D1,PWR,LED_1206_3216Metric,12.4,39.1,90.0,top
D2,ACT,LED_1206_3216Metric,19.4,39.1,90.0,top
D3,SER,LED_1206_3216Metric,26.4,39.1,90.0,top
D4,ERR,LED_1206_3216Metric,33.4,39.1,90.0,top
FB1,33Ohm/100MHz,L_0603_1608Metric,9.5,14.6,0.0,top
FB2,120Ohm/100MHz,L_0603_1608Metric,13.7,18.3,90.0,top
FB3,120Ohm/100MHz,L_0603_1608Metric,36.5,33.9,180.0,top
Q1,BSS138,SOT-23,41.7,16.1,0.0,top
R1,5.1k,R_0402_1005Metric,11.3,18.7,-90.0,top
R10,100k,R_0402_1005Metric,44.3,34.0,90.0,top
R11,10k,R_0402_1005Metric,20.7,21.2,0.0,top
R12,1k,R_0402_1005Metric,22.7,21.2,180.0,top
R13,1k,R_0402_1005Metric,24.3,10.5,-90.0,top
R14,27,R_0402_1005Metric,32.0,34.6,180.0,top
R15,27,R_0402_1005Metric,32.0,35.6,180.0,top
R16,1k,R_0402_1005Metric,32.8,16.6,180.0,top
R17,10k,R_0402_1005Metric,26.5,11.5,90.0,top
R18,100,R_0402_1005Metric,44.3,16.7,90.0,top
R19,100,R_0402_1005Metric,44.3,23.1,-90.0,top
R2,5.1k,R_0402_1005Metric,11.9,24.9,90.0,top
R20,100,R_0402_1005Metric,44.3,28.0,-90.0,top
R21,100,R_0402_1005Metric,44.3,20.0,90.0,top
R22,100,R_0402_1005Metric,44.3,25.1,90.0,top
R23,100,R_0402_1005Metric,43.8,11.9,-90.0,top
R24,100,R_0402_1005Metric,43.8,8.9,-90.0,top
R25,1k,R_0402_1005Metric,38.2,17.6,-90.0,top
R26,100k,R_0402_1005Metric,39.2,16.6,-90.0,top
R27,10k,R_0402_1005Metric,44.3,14.7,90.0,top
R3,1k,R_0402_1005Metric,14.3,40.0,90.0,top
R4,1k,R_0402_1005Metric,21.3,40.0,90.0,top
R5,1k,R_0402_1005Metric,28.3,40.0,90.0,top
R6,1k,R_0402_1005Metric,31.5,40.0,90.0,top
R7,100k,R_0402_1005Metric,41.7,35.2,0.0,top
R8,100k,R_0402_1005Metric,40.8,39.8,0.0,top
R9,100k,R_0402_1005Metric,44.3,32.0,90.0,top
U1,LP5907MFX-3.3,SOT-23-5,12.7,11.2,-90.0,top
U10,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,40.7,11.6,0.0,top
U2,USBLC6-2SC6,SOT-23-6,13.5,21.9,180.0,top
U3,W25Q16JVSS,SOIC-8_5.23x5.23mm_P1.27mm,24.1,27.5,90.0,top
U4,TPS2553DBVR,SOT-23-6,41.3,37.5,0.0,top
U5,TLV9001IDCK,SOT-353_SC-70-5,42.1,33.2,180.0,top
U6,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,32.5,24.1,0.0,top
U7,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,41.3,24.1,0.0,top
U8,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,41.3,19.3,0.0,top
U9,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,41.3,28.9,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,32.8,12.9,90.0,top
