Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,14.7,14.1,0.0,top
C10,100n,C_0402_1005Metric,39.9,33.0,90.0,top
C11,16p,C_0402_1005Metric,31.2,15.5,180.0,top
C12,1u,C_0402_1005Metric,44.0,39.0,90.0,top
C13,16p,C_0402_1005Metric,33.8,15.6,0.0,top
C14,100n,C_0402_1005Metric,34.7,18.6,180.0,top
C15,100n,C_0402_1005Metric,31.2,30.5,0.0,top
C16,1u,C_0402_1005Metric,34.6,31.9,-90.0,top
C17,100n,C_0402_1005Metric,27.8,27.2,90.0,top
C18,100n,C_0402_1005Metric,27.8,23.7,90.0,top
C19,100n,C_0402_1005Metric,34.0,17.6,0.0,top
C2,10u,C_0603_1608Metric,14.6,4.4,0.0,top
C20,100n,C_0402_1005Metric,37.3,22.7,-90.0,top
C21,100n,C_0402_1005Metric,37.3,27.4,90.0,top
C22,100n,C_0402_1005Metric,31.2,31.5,180.0,top
C23,100n,C_0402_1005Metric,32.9,31.8,90.0,top
C24,100n,C_0402_1005Metric,35.8,28.8,0.0,top
C25,1u,C_0402_1005Metric,35.7,30.4,0.0,top
C26,100n,C_0402_1005Metric,39.4,25.9,180.0,top
C27,100n,C_0402_1005Metric,40.3,21.1,180.0,top
C28,100n,C_0402_1005Metric,40.3,30.7,180.0,top
C29,100n,C_0402_1005Metric,39.7,13.4,180.0,top
C3,6.8pF,C_0402_1005Metric,11.7,4.3,180.0,top
C30,100n,C_0402_1005Metric,41.3,25.9,180.0,top
C31,100n,C_0402_1005Metric,42.3,21.1,180.0,top
C32,100n,C_0402_1005Metric,42.3,30.7,180.0,top
C33,100n,C_0402_1005Metric,41.7,13.4,180.0,top
C4,10u,C_0603_1608Metric,14.7,16.8,180.0,top
C5,1u,C_0402_1005Metric,35.2,35.2,180.0,top
C6,1u,C_0402_1005Metric,37.8,35.2,0.0,top
C7,1u,C_0402_1005Metric,20.7,28.2,-90.0,top
C8,100n,C_0402_1005Metric,20.7,30.2,90.0,top
C9,1u,C_0402_1005Metric,38.6,38.0,-90.0,top
D1,PWR,LED_1206_3216Metric,12.4,39.1,90.0,top
D2,ERR,LED_1206_3216Metric,19.4,39.1,90.0,top
D3,ACT,LED_1206_3216Metric,26.4,39.1,90.0,top
D4,SER,LED_1206_3216Metric,33.4,39.1,90.0,top
FB1,33Ohm/100MHz,L_0603_1608Metric,9.5,14.6,0.0,top
FB2,120Ohm/100MHz,L_0603_1608Metric,14.3,19.1,180.0,top
FB3,120Ohm/100MHz,L_0603_1608Metric,36.5,33.9,180.0,top
L1,2.2uH,L_Taiyo-Yuden_NR-30xx,14.6,7.2,180.0,top
Q1,BSS138,SOT-23,41.7,16.1,0.0,top
R1,1k,R_0402_1005Metric,14.3,40.0,90.0,top
R10,100k,R_0402_1005Metric,41.6,40.8,0.0,top
R11,100k,R_0402_1005Metric,44.3,32.0,90.0,top
R12,100k,R_0402_1005Metric,44.3,34.0,90.0,top
R13,10k,R_0402_1005Metric,20.7,21.2,0.0,top
R14,1k,R_0402_1005Metric,22.7,21.2,0.0,top
